step,avg_psnr,avg_ssim,avg_lpips,num_valid
0,28.877250,0.9525300212765958,0.03972936170212766,47
1,28.834049,0.9522284680851064,0.04008714893617022,47
2,28.698337,0.9514394893617018,0.04115587234042553,47
3,28.300015,0.9493363404255319,0.04383951063829788,47
4,29.248818,0.9471726041666666,0.04660677083333333,48
5,28.404048,0.9407207291666667,0.0522745,48
6,27.033544,0.9274742291666667,0.06232258333333333,48
7,25.967638,0.9064972653061224,0.07799124489795918,49
8,22.834437,0.8723803673469389,0.10326902040816327,49
9,20.635548,0.8467965102040816,0.13179302040816326,49
10,18.950348,0.8320499183673471,0.1622009795918367,49
11,18.745996,0.8227477599999999,0.19659764000000002,50
12,17.664598,0.80903764,0.23776615999999998,50
13,16.697764,0.7938373599999998,0.27999512000000004,50
14,15.917388,0.77960222,0.31593741999999997,50
15,15.299325,0.76358262,0.35285162,50
16,14.708455,0.7436475,0.38822263999999995,50
17,14.159054,0.71631052,0.42509762,50
18,13.634441,0.69038352,0.45878906,50
19,13.088739,0.6695101600000001,0.48269532,50
