method,step,avg_psnr,avg_ssim,avg_lpips
pixel_space_ours,0,28.877250489361696,0.9525300212765958,0.03972936170212766
pixel_space_ours,1,27.733191702127666,0.9460262765957448,0.04626134042553192
pixel_space_ours,2,26.738025914893612,0.9396559787234043,0.05392134042553191
pixel_space_ours,3,26.036642361702125,0.9325848510638299,0.06355574468085107
pixel_space_ours,4,25.52624304255319,0.9258535531914891,0.07349670212765957
pixel_space_ours,5,25.082739042553193,0.9183385319148937,0.08324682978723404
pixel_space_ours,6,24.677128212765957,0.9112147446808512,0.0925864680851064
pixel_space_ours,7,24.225465255319147,0.9045542127659574,0.10098065957446808
pixel_space_ours,8,23.84010268085106,0.8980958936170215,0.10796731914893616
pixel_space_ours,9,23.47601210638298,0.8922199361702129,0.11472529787234045
pixel_space_ours,10,23.023730127659572,0.8874027872340426,0.12106257446808508
pixel_space_ours,11,22.573855170212767,0.8828840638297872,0.12652199999999997
pixel_space_ours,12,22.097464510638297,0.878500744680851,0.13135808510638294
pixel_space_ours,13,21.75060006382979,0.8746876382978721,0.13558634042553191
pixel_space_ours,14,21.43791619148936,0.8710728936170213,0.13975240425531915
pixel_space_ours,15,21.14314682978723,0.8674241063829786,0.14352868085106382
pixel_space_ours,16,20.87626855319149,0.8644268936170213,0.14680642553191492
pixel_space_ours,17,20.622858425531916,0.8613182978723405,0.15003740425531917
pixel_space_ours,18,20.385778659574466,0.8583100000000001,0.1529982127659575
pixel_space_ours,19,20.151439085106386,0.8552539574468087,0.1557824893617021
token_space_ours,0,28.877250489361696,0.9525300212765958,0.03972936170212766
token_space_ours,1,28.83404936170213,0.9522284680851064,0.04008714893617022
token_space_ours,2,28.69833708510638,0.9514394893617018,0.04115587234042553
token_space_ours,3,28.300014553191488,0.9493363404255319,0.04383951063829788
token_space_ours,4,29.2488185,0.9471726041666666,0.04660677083333333
token_space_ours,5,28.4040475,0.9407207291666667,0.0522745
token_space_ours,6,27.033543687500003,0.9274742291666667,0.06232258333333333
token_space_ours,7,25.967637653061225,0.9064972653061224,0.07799124489795918
token_space_ours,8,22.834437448979592,0.8723803673469389,0.10326902040816327
token_space_ours,9,20.635547632653058,0.8467965102040816,0.13179302040816326
token_space_ours,10,18.950348326530612,0.8320499183673471,0.1622009795918367
token_space_ours,11,18.74599588,0.8227477599999999,0.19659764000000002
token_space_ours,12,17.664598,0.80903764,0.23776615999999998
token_space_ours,13,16.697763840000004,0.7938373599999998,0.27999512000000004
token_space_ours,14,15.917388400000002,0.77960222,0.31593741999999997
token_space_ours,15,15.2993252,0.76358262,0.35285162
token_space_ours,16,14.708454719999999,0.7436475,0.38822263999999995
token_space_ours,17,14.159054179999998,0.71631052,0.42509762
token_space_ours,18,13.63444074,0.69038352,0.45878906
token_space_ours,19,13.08873942,0.6695101600000001,0.48269532
pixel_space_neuralGaffer,0,28.25769925,0.9445268452167511,0.0451358153950423
pixel_space_neuralGaffer,1,24.581161700000003,0.9114020317792892,0.07080171359702944
pixel_space_neuralGaffer,2,24.5683735,0.9175282806158066,0.07352242209017276
pixel_space_neuralGaffer,3,23.657529999999998,0.9053485125303269,0.09015074577182532
pixel_space_neuralGaffer,4,21.554335949999995,0.8592258334159851,0.13877281565219163
pixel_space_neuralGaffer,5,20.199336525,0.8228261679410934,0.18831352535635232
pixel_space_neuralGaffer,6,19.421785899999996,0.8053412228822708,0.22513813003897667
pixel_space_neuralGaffer,7,17.50501905,0.7625691384077072,0.27306540608406066
pixel_space_neuralGaffer,8,17.028044650000002,0.7392174363136291,0.3288545127958059
pixel_space_neuralGaffer,9,15.84384949,0.7020769745111466,0.3876837883144617
pixel_space_neuralGaffer,10,14.704660250000003,0.6674066185951233,0.44318112805485727
pixel_space_neuralGaffer,11,13.722817775,0.6373163685202599,0.4857882261276245
pixel_space_neuralGaffer,12,12.60454319,0.6038602635264396,0.5247035071253776
pixel_space_neuralGaffer,13,12.25614477,0.5936573892831802,0.5496033981442452
pixel_space_neuralGaffer,14,11.29660627,0.5687042444944381,0.5810386970639229
pixel_space_neuralGaffer,15,10.923961235,0.5529034063220024,0.6027261123061181
pixel_space_neuralGaffer,16,10.444047745000002,0.539247676730156,0.62084431797266
pixel_space_neuralGaffer,17,10.069639454999999,0.5286066547036171,0.6366767957806587
pixel_space_neuralGaffer,18,9.704415555,0.5128502309322357,0.6557869344949723
pixel_space_neuralGaffer,19,9.37757592,0.5031032487750053,0.6697630807757378
