step,img_avg_psnr,img_avg_ssim,img_avg_lpips,img_n,tok_avg_psnr,tok_avg_ssim,tok_avg_lpips,tok_n
0,22.6516,0.879086,0.092046,50,22.9627,0.882787,0.089729,51
1,22.5234,0.884967,0.098008,50,23.3392,0.898132,0.083117,51
2,25.7618,0.910956,0.094854,50,26.9866,0.928480,0.071347,51
3,21.0766,0.854301,0.121826,50,22.4497,0.878063,0.095789,51
4,21.2462,0.864382,0.125308,50,22.6998,0.890113,0.089766,51
5,23.7333,0.891249,0.123877,50,25.5903,0.912426,0.082371,51
6,19.9421,0.838387,0.143623,50,21.2441,0.856412,0.110524,51
7,20.1359,0.848917,0.148301,50,21.2156,0.866012,0.105857,51
8,22.0596,0.872824,0.150986,50,23.9558,0.886735,0.101670,51
9,18.9533,0.823170,0.165527,50,20.5003,0.844970,0.122910,51
10,19.1956,0.833781,0.171250,50,20.3551,0.849539,0.121417,51
11,20.7830,0.855245,0.177070,50,22.4307,0.864373,0.120359,51
12,18.1618,0.809231,0.185889,50,18.8222,0.814617,0.148296,51
13,18.3816,0.819152,0.191592,50,18.7916,0.819060,0.146736,51
14,19.7152,0.838837,0.199785,50,20.6826,0.836675,0.142738,51
15,17.3732,0.795153,0.204268,50,17.6274,0.793883,0.165535,51
16,17.6701,0.804957,0.210029,50,17.8990,0.802247,0.161767,51
17,18.7529,0.823315,0.219170,50,19.4852,0.817787,0.159390,51
18,16.6396,0.781053,0.220410,50,15.4300,0.752464,0.209018,51
19,16.9033,0.789036,0.225654,50,13.7472,0.729874,0.242839,51
20,17.8398,0.807196,0.235859,50,13.6394,0.727937,0.269340,51
21,15.9594,0.766796,0.234355,50,11.7429,0.687410,0.314616,51
22,16.2290,0.774660,0.239102,50,11.3202,0.683466,0.344171,51
23,17.0915,0.793528,0.248848,50,11.9240,0.690097,0.369945,51
24,15.3165,0.753100,0.246328,50,10.5947,0.643396,0.421952,51
25,15.5649,0.759493,0.251699,50,10.5214,0.625506,0.464729,51
26,16.3414,0.778796,0.260703,50,11.1283,0.625238,0.502374,51
27,14.7034,0.738398,0.255723,50,9.9269,0.567110,0.560317,51
28,14.9177,0.743070,0.259277,50,9.8326,0.545360,0.596431,51
29,15.6501,0.763699,0.270254,50,10.1172,0.556935,0.617111,51
30,14.1996,0.725444,0.264434,50,8.9960,0.517109,0.652727,51
31,14.4667,0.732726,0.267480,50,8.8248,0.513081,0.665097,51
32,15.2169,0.753178,0.278457,50,9.0562,0.534766,0.671377,51
33,13.8712,0.716298,0.272383,50,8.2340,0.503173,0.697610,51
34,14.1007,0.723398,0.274980,50,8.0898,0.508408,0.700023,51
35,14.8736,0.743149,0.286152,50,8.3139,0.535245,0.698146,51
36,13.5974,0.708579,0.279473,50,7.6502,0.507178,0.720550,51
37,13.8062,0.715910,0.282598,50,7.5198,0.511673,0.722350,51
38,14.5592,0.734785,0.292656,50,7.7395,0.533681,0.718712,51
39,13.3290,0.702181,0.285938,50,7.2917,0.502135,0.736596,51
40,13.5356,0.709183,0.288867,50,7.2599,0.504544,0.735371,51
41,14.3043,0.727754,0.298965,50,7.5167,0.523873,0.727865,51
42,13.1046,0.696778,0.291602,50,7.1423,0.493569,0.744026,51
43,13.3170,0.703593,0.294570,50,7.0774,0.497303,0.742341,51
44,14.0876,0.721565,0.304766,50,7.3121,0.517178,0.735983,51
45,12.8853,0.691238,0.296895,50,6.9793,0.488616,0.748928,51
46,13.0895,0.698522,0.300527,50,6.9517,0.493532,0.747626,51
47,13.8752,0.716714,0.309727,50,7.2250,0.513906,0.740196,51
48,12.6846,0.686698,0.302012,50,6.9427,0.485002,0.750919,51
49,12.8459,0.692599,0.305586,50,6.9452,0.490003,0.750077,51
